split	family	scenario	root	regime	center_distance	family_code	expert	budget	attempt_wall_us	accepted	execution_failure	gate_mismatch	terminal_wall_us
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-middle-v1	3	155.291	1	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-middle-v1	4	152.792	1	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-high-v1	0	49.125	0	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-high-v1	2	122.167	0	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-high-v1	3	155.916	1	0	0	191.041
training	ConditionedQuadratic	16	1.7928571428571427	0.25390625	0.24609375	0	conditioned-high-v1	4	155.5	1	0	0	191.041
training	ConditionedQuadratic	17	1.1619047619047618	0.26953125	0.23046875	0	conditioned-low-v1	0	38.707999999999998	0	0	0	123.708
training	ConditionedQuadratic	17	1.1619047619047618	0.26953125	0.23046875	0	conditioned-low-v1	2	110.084	0	0	0	123.708
training	ConditionedQuadratic	17	1.1619047619047618	0.26953125	0.23046875	0	conditioned-low-v1	3	145.042	1	0	0	123.708
training	ConditionedQuadratic	17	1.1619047619047618	0.26953125	0.23046875	0	conditioned-low-v1	4	145.292	1	0	0	123.708
training	ConditionedQuadratic	17	1.1619047619047618	0.26953125	0.23046875	0	conditioned-middle-v1	0	45.875	0	0	0	123.708
