split	matrix	request	repetition	schedule_position	attempt_index	backend	budget	executed_iterations	status	wall_us	residual_inf
training	bfwb398	sparse-tol6	0	11	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3756.2080000000001	6.1666904079027487e-08
training	bfwb398	sparse-tol6	0	11	1	gmres-ilu0-cpu-v1	250	1	gate-rejected	83.957999999999998	9.385339845540735e-07
training	bfwb398	sparse-tol6	0	11	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	700.20799999999997	1.0164395367051604e-20
training	bfwb398	sparse-tol6	1	3	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3156.125	6.1666904079027487e-08
training	bfwb398	sparse-tol6	1	3	1	gmres-ilu0-cpu-v1	250	1	gate-rejected	81.125	9.385339845540735e-07
training	bfwb398	sparse-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	861.625	1.0164395367051604e-20
training	bfwb398	sparse-tol6	2	7	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3873.75	6.1666904079027487e-08
training	bfwb398	sparse-tol6	2	7	1	gmres-ilu0-cpu-v1	250	1	gate-rejected	80.625	9.385339845540735e-07
training	bfwb398	sparse-tol6	2	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	963	1.0164395367051604e-20
training	bfwb398	sparse-tol6	3	8	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3617.7919999999999	6.1666904079027487e-08
